date,ITUB4
2025-10-03,38.21
2025-10-02,37.93
2025-10-01,38.35
2025-09-30,39.07
2025-09-29,38.89
2025-09-26,38.67
2025-09-25,38.48
2025-09-24,38.79
2025-09-23,39.05
2025-09-22,38.44
2025-09-19,39.0
2025-09-18,38.49
2025-09-17,38.44
2025-09-16,37.9
2025-09-15,38.0
2025-09-12,37.38
2025-09-11,37.95
2025-09-10,37.88
2025-09-09,37.85
2025-09-08,38.18
2025-09-05,38.36
2025-09-04,37.94
2025-09-03,37.79
2025-09-02,38.12
2025-09-01,38.78
2025-08-29,38.49
2025-08-28,38.35
2025-08-27,37.57
2025-08-26,36.95
2025-08-25,37.2
2025-08-22,37.39
2025-08-21,36.37
2025-08-20,36.33
2025-08-19,36.31
2025-08-18,37.76
2025-08-15,37.49
2025-08-14,37.62
2025-08-13,37.67
2025-08-12,38.03
2025-08-11,37.26
2025-08-08,37.03
2025-08-07,36.78
2025-08-06,36.14
2025-08-05,35.69
2025-08-04,35.3
2025-08-01,34.93
2025-07-31,35.16
2025-07-30,35.07
2025-07-29,34.67
2025-07-28,34.47
2025-07-25,35.21
2025-07-24,35.06
2025-07-23,35.39
2025-07-22,35.0
2025-07-21,35.48
2025-07-18,35.07
2025-07-17,35.72
2025-07-16,35.19
2025-07-15,35.02
2025-07-14,34.9
2025-07-11,34.96
2025-07-10,35.25
2025-07-09,36.37
2025-07-08,37.14
2025-07-07,37.23
2025-07-04,37.73
2025-07-03,37.71
2025-07-02,36.8
2025-07-01,37.1
2025-06-30,36.95
2025-06-27,36.27
2025-06-26,36.31
2025-06-25,36.58
2025-06-24,37.25
2025-06-23,36.56
2025-06-20,36.64
2025-06-18,36.83
2025-06-17,37.05
2025-06-16,36.83
2025-06-13,36.17
2025-06-12,36.61
2025-06-11,36.33
2025-06-10,36.0
2025-06-09,36.39
2025-06-06,36.58
2025-06-05,36.49
2025-06-04,36.94
2025-06-03,37.03
2025-06-02,37.15
2025-05-30,37.43
2025-05-29,37.49
2025-05-28,37.79
2025-05-27,38.1
2025-05-26,37.8
2025-05-23,37.72
2025-05-22,37.27
2025-05-21,37.53
2025-05-20,38.3
2025-05-19,38.35
2025-05-16,37.9
2025-05-15,37.68
2025-05-14,37.18
2025-05-13,36.93
2025-05-12,36.48
2025-05-09,37.23
2025-05-08,35.32
2025-05-07,35.04
2025-05-06,34.66
2025-05-05,34.84
2025-05-02,35.47
2025-04-30,35.58
2025-04-29,35.27
2025-04-28,34.99
2025-04-25,34.62
2025-04-24,34.75
2025-04-23,34.09
2025-04-22,33.39
2025-04-17,32.75
2025-04-16,32.69
2025-04-15,32.74
2025-04-14,32.33
2025-04-11,31.81
2025-04-10,31.65
2025-04-09,31.78
2025-04-08,31.21
2025-04-07,31.2
2025-04-04,31.14
2025-04-03,31.97
2025-04-02,31.41
2025-04-01,31.4
2025-03-31,31.41
2025-03-28,31.69
2025-03-27,32.13
2025-03-26,32.09
2025-03-25,32.44
2025-03-24,32.18
2025-03-21,32.15
2025-03-20,32.08
2025-03-19,32.38
2025-03-18,32.3
2025-03-17,35.34
2025-03-14,34.31
2025-03-13,33.23
2025-03-12,32.7
2025-03-11,32.6
2025-03-10,32.89
2025-03-07,32.6
2025-03-06,32.46
2025-03-05,32.4
2025-02-28,31.94
2025-02-27,32.74
2025-02-26,32.77
2025-02-25,32.85
2025-02-24,32.52
2025-02-21,32.7
2025-02-20,32.8
2025-02-19,32.89
2025-02-18,33.2
2025-02-17,34.84
2025-02-14,34.77
2025-02-13,33.87
2025-02-12,33.69
2025-02-11,34.65
2025-02-10,34.29
2025-02-07,33.92
2025-02-06,34.17
2025-02-05,34.11
2025-02-04,33.6001
2025-02-03,33.48
2025-01-31,33.81
2025-01-30,34.03
2025-01-29,33.22
2025-01-28,33.3
2025-01-27,33.24
2025-01-24,32.46
2025-01-23,32.54
2025-01-22,32.6101
2025-01-21,32.73
2025-01-20,32.66
2025-01-17,32.35
2025-01-16,32.12
2025-01-15,32.22
2025-01-14,30.88
2025-01-13,30.86
2025-01-10,30.64
2025-01-09,31.0701
2025-01-08,30.99
2025-01-07,31.5
2025-01-06,31.16
2025-01-03,29.82
2025-01-02,30.57
2024-12-30,30.73
2024-12-27,30.78
2024-12-26,31.09
2024-12-23,30.89
2024-12-20,31.5
2024-12-19,31.14
2024-12-18,30.97
2024-12-17,31.88
2024-12-16,31.71
2024-12-13,32.0601
2024-12-12,32.48
2024-12-11,33.31
2024-12-10,32.99
2024-12-09,32.86
2024-12-06,32.7
2024-12-05,33.3801
2024-12-04,32.68
2024-12-03,32.48
2024-12-02,32.12
2024-11-29,32.6
2024-11-28,32.68
2024-11-27,33.9
2024-11-26,34.75
2024-11-25,34.1
2024-11-22,34.11
2024-11-21,34.01
2024-11-19,34.61
2024-11-18,34.3
2024-11-14,34.42
2024-11-13,34.52
2024-11-12,34.7001
2024-11-11,35.12
2024-11-08,35.08
2024-11-07,35.64
2024-11-06,36.17
2024-11-05,36.34
2024-11-04,35.28
2024-11-01,34.8101
2024-10-31,35.02
2024-10-30,35.2501
2024-10-29,35.35
2024-10-28,35.73
2024-10-25,35.3
2024-10-24,35.7
2024-10-23,35.38
2024-10-22,35.16
2024-10-21,35.1
2024-10-18,35.28
2024-10-17,35.11
2024-10-16,35.04
2024-10-15,35.2501
2024-10-14,34.85
2024-10-11,34.63
2024-10-10,34.89
2024-10-09,34.7001
2024-10-08,35.35
2024-10-07,35.1401
2024-10-04,34.91
2024-10-03,34.84
2024-10-02,35.72
2024-10-01,35.5
2024-09-30,36.11
2024-09-27,36.76
2024-09-26,36.62
2024-09-25,36.16
2024-09-24,35.71
2024-09-23,35.72
2024-09-20,35.93
2024-09-19,36.6
2024-09-18,36.7
2024-09-17,36.91
2024-09-16,37.0
2024-09-13,37.0101
2024-09-12,36.97
2024-09-11,37.38
2024-09-10,37.31
2024-09-09,37.31
2024-09-06,36.95
2024-09-05,37.48
2024-09-04,37.24
2024-09-03,36.98
2024-09-02,36.39
2024-08-30,36.7
2024-08-29,36.96
2024-08-28,37.37
2024-08-27,36.58
2024-08-26,36.54
2024-08-23,36.4601
2024-08-22,36.74
2024-08-21,37.08
2024-08-20,37.2301
2024-08-19,36.96
2024-08-16,36.74
2024-08-15,37.05
2024-08-14,36.47
2024-08-13,35.59
2024-08-12,34.61
2024-08-09,34.56
2024-08-08,33.65
2024-08-07,33.77
2024-08-06,33.68
2024-08-05,32.95
2024-08-02,32.95
2024-08-01,33.37
2024-07-31,33.88
2024-07-30,34.36
2024-07-29,34.49
2024-07-26,34.24
2024-07-25,33.99
2024-07-24,34.14
2024-07-23,34.19
2024-07-22,34.24
2024-07-19,34.2601
2024-07-18,34.0
2024-07-17,34.16
2024-07-16,33.79
2024-07-15,33.59
2024-07-12,33.46
2024-07-11,33.65
2024-07-10,33.45
2024-07-09,33.1
2024-07-08,32.87
2024-07-05,32.93
2024-07-04,32.91
2024-07-03,32.86
2024-07-02,32.66
2024-07-01,32.24
2024-06-28,32.41
2024-06-27,32.44
2024-06-26,32.38
2024-06-25,32.44
2024-06-24,32.34
2024-06-21,31.88
2024-06-20,31.91
2024-06-19,32.13
2024-06-18,31.88
2024-06-17,31.9
2024-06-14,31.14
2024-06-13,31.17
2024-06-12,31.5
2024-06-11,31.55
2024-06-10,31.2
2024-06-07,31.45
2024-06-06,31.9
2024-06-05,31.5
2024-06-04,31.56
2024-06-03,31.45
2024-05-31,31.03
2024-05-29,31.35
2024-05-28,31.57
2024-05-27,31.74
2024-05-24,31.85
2024-05-23,32.16
2024-05-22,32.45
2024-05-21,32.96
2024-05-20,33.13
2024-05-17,33.23
2024-05-16,33.22
2024-05-15,33.32
2024-05-14,33.41
2024-05-13,33.0501
2024-05-10,32.65
2024-05-09,32.2801
2024-05-08,33.28
2024-05-07,33.07
2024-05-06,32.4
2024-05-03,32.2
2024-05-02,31.8
2024-04-30,31.36
2024-04-29,31.96
2024-04-26,32.21
2024-04-25,31.68
2024-04-24,31.86
2024-04-23,32.0
2024-04-22,31.53
2024-04-19,31.55
2024-04-18,31.7301
2024-04-17,31.69
2024-04-16,31.67
2024-04-15,31.91
2024-04-12,32.46
2024-04-11,32.8
2024-04-10,32.86
2024-04-09,33.57
2024-04-08,33.22
2024-04-05,32.73
2024-04-04,32.79
2024-04-03,33.23
2024-04-02,33.48
2024-04-01,33.44
2024-03-28,34.64
2024-03-27,34.58
2024-03-26,34.39
2024-03-25,33.72
2024-03-22,33.72
2024-03-21,34.44
2024-03-20,34.8
2024-03-19,34.73
2024-03-18,34.68
2024-03-15,34.54
2024-03-14,34.73
2024-03-13,34.75
2024-03-12,34.41
2024-03-11,34.27
2024-03-08,34.1
2024-03-07,33.79
2024-03-06,34.1501
2024-03-05,33.78
2024-03-04,33.81
2024-03-01,34.07
2024-02-29,33.94
2024-02-28,34.8
2024-02-27,34.78
2024-02-26,34.36
2024-02-23,34.2601
2024-02-22,34.16
2024-02-21,35.48
2024-02-20,35.68
2024-02-19,34.9201
2024-02-16,34.54
2024-02-15,34.58
2024-02-14,34.29
2024-02-09,34.29
2024-02-08,33.86
2024-02-07,34.54
2024-02-06,34.79
2024-02-05,33.36
2024-02-02,32.74
2024-02-01,32.69
2024-01-31,32.78
2024-01-30,32.43
2024-01-29,32.64
2024-01-26,32.81
2024-01-25,32.33
2024-01-24,32.4
2024-01-23,32.55
2024-01-22,32.4
2024-01-19,32.9401
2024-01-18,32.86
2024-01-17,33.0
2024-01-16,32.98
2024-01-15,33.45
2024-01-12,33.39
2024-01-11,33.35
2024-01-10,33.29
2024-01-09,33.32
2024-01-08,33.34
2024-01-05,33.7
2024-01-04,32.93
2024-01-03,33.15
2024-01-02,33.52
2023-12-28,33.97
2023-12-27,33.88
2023-12-26,33.65
2023-12-22,33.31
2023-12-21,32.79
2023-12-20,32.57
2023-12-19,32.91
2023-12-18,32.89
2023-12-15,32.73
2023-12-14,32.87
2023-12-13,32.6
2023-12-12,31.64
2023-12-11,31.8
2023-12-08,32.02
2023-12-07,31.6201
2023-12-06,31.52
2023-12-05,31.8
2023-12-04,31.54
2023-12-01,31.5
2023-11-30,31.59
2023-11-29,31.11
2023-11-28,30.9
2023-11-27,30.6
2023-11-24,30.68
2023-11-23,30.8501
2023-11-22,30.89
2023-11-21,30.7
2023-11-20,30.75
2023-11-17,30.45
2023-11-16,30.31
2023-11-14,29.83
2023-11-13,29.39
2023-11-10,29.59
2023-11-09,29.24
2023-11-08,29.11
2023-11-07,28.9801
2023-11-06,28.19
2023-11-03,27.93
2023-11-01,27.18
2023-10-31,26.82
2023-10-30,27.08
2023-10-27,27.3
2023-10-26,27.71
2023-10-25,27.04
2023-10-24,26.99
2023-10-23,26.99
2023-10-20,26.96
2023-10-19,27.06
2023-10-18,26.75
2023-10-17,27.32
2023-10-16,27.73
2023-10-13,27.69
2023-10-11,27.98
2023-10-10,27.63
2023-10-09,27.6601
2023-10-06,27.9
2023-10-05,27.64
2023-10-04,27.21
2023-10-03,26.6
2023-10-02,26.94
2023-09-29,27.21
2023-09-28,27.25
2023-09-27,26.55
2023-09-26,26.6
2023-09-25,27.0001
2023-09-22,26.92
2023-09-21,26.99
2023-09-20,27.62
2023-09-19,27.16
2023-09-18,27.51
2023-09-15,27.58
2023-09-14,27.64
2023-09-13,27.75
2023-09-12,27.61
2023-09-11,27.45
2023-09-08,26.77
2023-09-06,26.73
2023-09-05,26.99
2023-09-04,27.4
2023-09-01,27.65
2023-08-31,27.43
2023-08-30,27.67
2023-08-29,28.2101
2023-08-28,27.7701
2023-08-25,26.86
2023-08-24,27.29
2023-08-23,27.61
2023-08-22,27.27
2023-08-21,26.85
2023-08-18,26.96
2023-08-17,26.75
2023-08-16,27.07
2023-08-15,27.09
2023-08-14,27.24
2023-08-11,27.64
2023-08-10,27.59
2023-08-09,27.5
2023-08-08,27.6
2023-08-07,27.6601
2023-08-04,27.8801
2023-08-03,28.4
2023-08-02,28.62
2023-08-01,28.71
2023-07-31,28.64
2023-07-28,28.5401
2023-07-27,28.12
2023-07-26,28.7601
2023-07-25,28.6
2023-07-24,28.5401
2023-07-21,29.0
2023-07-20,28.49
2023-07-19,27.97
2023-07-18,28.27
2023-07-17,28.83
2023-07-14,28.28
2023-07-13,28.58
2023-07-12,28.27
2023-07-11,28.44
2023-07-10,28.95
2023-07-07,29.14
2023-07-06,28.6
2023-07-05,29.03
2023-07-04,28.78
2023-07-03,28.96
2023-06-30,28.42
2023-06-29,28.49
2023-06-28,28.15
2023-06-27,28.31
2023-06-26,28.63
2023-06-23,28.67
2023-06-22,28.7601
2023-06-21,29.04
2023-06-20,28.7601
2023-06-19,29.04
2023-06-16,28.6501
2023-06-15,28.56
2023-06-14,28.19
2023-06-13,27.81
2023-06-12,27.5
2023-06-09,27.8
2023-06-07,27.42
2023-06-06,27.34
2023-06-05,27.15
2023-06-02,27.09
2023-06-01,26.7
2023-05-31,26.33
2023-05-30,26.54
2023-05-29,26.92
2023-05-26,27.04
2023-05-25,27.25
2023-05-24,26.42
2023-05-23,26.57
2023-05-22,26.36
2023-05-19,26.87
2023-05-18,27.09
2023-05-17,27.19
2023-05-16,26.92
2023-05-15,27.01
2023-05-12,26.91
2023-05-11,27.16
2023-05-10,26.9
2023-05-09,26.51
2023-05-08,26.35
2023-05-05,25.99
2023-05-04,25.06
2023-05-03,24.86
2023-05-02,24.9
2023-04-28,25.92
2023-04-27,25.7901
2023-04-26,25.34
2023-04-25,25.6
2023-04-24,25.37
2023-04-20,25.6
2023-04-19,25.53
2023-04-18,25.94
2023-04-17,25.96
2023-04-14,26.0101
2023-04-13,25.64
2023-04-12,25.64
2023-04-11,25.47
2023-04-10,24.67
2023-04-06,24.41
2023-04-05,24.49
2023-04-04,24.51
2023-04-03,24.0301
2023-03-31,24.74
2023-03-30,24.62
2023-03-29,23.96
2023-03-28,23.73
2023-03-27,23.62
2023-03-24,23.22
2023-03-23,23.1501
2023-03-22,23.74
2023-03-21,23.88
2023-03-20,23.4
2023-03-17,23.34
2023-03-16,24.0301
2023-03-15,23.64
2023-03-14,23.7001
2023-03-13,23.78
2023-03-10,24.07
2023-03-09,24.66
2023-03-08,25.14
2023-03-07,24.83
2023-03-06,24.76
2023-03-03,24.21
2023-03-02,24.18
2023-03-01,25.0
2023-02-28,25.43
2023-02-27,25.34
2023-02-24,25.67
2023-02-23,26.48
2023-02-22,26.38
2023-02-17,26.88
2023-02-16,26.97
2023-02-15,26.77
2023-02-14,26.38
2023-02-13,26.71
2023-02-10,25.8
2023-02-09,25.92
2023-02-08,26.58
2023-02-07,24.55
2023-02-06,25.1301
2023-02-03,25.12
2023-02-02,25.21
2023-02-01,24.98
2023-01-31,25.33
2023-01-30,24.94
2023-01-27,24.93
2023-01-26,25.47
2023-01-25,25.62
2023-01-24,25.53
2023-01-23,25.3
2023-01-20,26.1
2023-01-19,26.57
2023-01-18,26.57
2023-01-17,26.1
2023-01-16,25.5701
2023-01-13,25.85
2023-01-12,25.98
2023-01-11,26.35
2023-01-10,25.9001
2023-01-09,25.41
2023-01-06,25.23
2023-01-05,24.8001
2023-01-04,24.05
2023-01-03,23.98
2023-01-02,24.49
2022-12-29,25.0
2022-12-28,25.05
2022-12-27,24.55
2022-12-26,24.6901
2022-12-23,25.19
2022-12-22,24.8001
2022-12-21,24.75
2022-12-20,24.65
2022-12-19,24.39
2022-12-16,23.68
2022-12-15,23.42
2022-12-14,23.29
2022-12-13,23.19
2022-12-12,24.1
2022-12-09,24.33
2022-12-08,25.05
2022-12-07,25.96
2022-12-06,26.15
2022-12-05,25.56
2022-12-02,26.33
2022-12-01,25.98
2022-11-30,26.0
2022-11-29,25.74
2022-11-28,25.52
2022-11-25,25.99
2022-11-24,26.94
2022-11-23,26.0101
2022-11-22,26.28
2022-11-21,26.72
2022-11-18,26.64
2022-11-17,26.43
2022-11-16,26.27
2022-11-14,26.65
2022-11-11,26.73
2022-11-10,27.62
2022-11-09,28.15
2022-11-08,29.57
