date,ABEV3
2025-10-03,11.87
2025-10-02,11.93
2025-10-01,11.99
2025-09-30,12.09
2025-09-29,12.41
2025-09-26,12.46
2025-09-25,12.46
2025-09-24,12.38
2025-09-23,12.46
2025-09-22,12.36
2025-09-19,12.55
2025-09-18,12.52
2025-09-17,12.79
2025-09-16,12.71
2025-09-15,12.63
2025-09-12,12.58
2025-09-11,12.52
2025-09-10,12.36
2025-09-09,12.33
2025-09-08,12.14
2025-09-05,12.25
2025-09-04,12.16
2025-09-03,11.9
2025-09-02,12.16
2025-09-01,12.3
2025-08-29,12.35
2025-08-28,12.25
2025-08-27,12.15
2025-08-26,12.18
2025-08-25,12.12
2025-08-22,12.21
2025-08-21,12.06
2025-08-20,12.1
2025-08-19,12.07
2025-08-18,12.07
2025-08-15,12.04
2025-08-14,12.02
2025-08-13,12.12
2025-08-12,12.23
2025-08-11,12.31
2025-08-08,12.37
2025-08-07,12.54
2025-08-06,12.48
2025-08-05,12.36
2025-08-04,12.41
2025-08-01,12.29
2025-07-31,12.46
2025-07-30,13.15
2025-07-29,13.19
2025-07-28,13.06
2025-07-25,13.47
2025-07-24,13.5
2025-07-23,13.59
2025-07-22,13.4
2025-07-21,13.42
2025-07-18,13.32
2025-07-17,13.46
2025-07-16,13.68
2025-07-15,13.27
2025-07-14,13.29
2025-07-12,13.3
2025-07-11,13.3
2025-07-10,13.23
2025-07-09,13.31
2025-07-08,13.38
2025-07-07,13.4
2025-07-04,13.52
2025-07-03,13.48
2025-07-02,13.65
2025-07-01,13.38
2025-06-30,13.32
2025-06-27,13.15
2025-06-26,13.32
2025-06-25,13.15
2025-06-24,13.51
2025-06-23,13.56
2025-06-20,13.53
2025-06-18,13.49
2025-06-17,13.47
2025-06-16,13.68
2025-06-13,13.64
2025-06-12,13.8
2025-06-11,13.91
2025-06-10,13.8
2025-06-09,13.96
2025-06-06,14.08
2025-06-05,13.87
2025-06-04,14.08
2025-06-03,14.01
2025-06-02,13.91
2025-05-30,14.03
2025-05-29,14.06
2025-05-28,14.1
2025-05-27,14.2
2025-05-26,14.26
2025-05-23,14.24
2025-05-22,14.1
2025-05-21,14.16
2025-05-20,14.29
2025-05-19,14.32
2025-05-16,14.39
2025-05-15,14.41
2025-05-14,14.23
2025-05-13,14.25
2025-05-12,14.29
2025-05-09,14.28
2025-05-08,14.37
2025-05-07,14.27
2025-05-06,14.21
2025-05-05,14.06
2025-05-02,14.12
2025-04-30,14.57
2025-04-29,14.51
2025-04-28,14.3
2025-04-25,14.09
2025-04-24,14.15
2025-04-23,14.05
2025-04-22,14.02
2025-04-17,14.0
2025-04-16,13.89
2025-04-15,13.66
2025-04-14,13.68
2025-04-11,13.48
2025-04-10,13.6
2025-04-09,13.67
2025-04-08,13.24
2025-04-07,13.18
2025-04-04,13.71
2025-04-03,13.85
2025-04-02,13.67
2025-04-01,13.61
2025-03-31,13.5
2025-03-28,13.43
2025-03-27,13.46
2025-03-26,13.38
2025-03-25,13.6
2025-03-24,13.54
2025-03-21,13.73
2025-03-20,13.6
2025-03-19,13.68
2025-03-18,13.55
2025-03-17,13.57
2025-03-14,13.64
2025-03-13,13.33
2025-03-12,13.03
2025-03-11,12.86
2025-03-10,13.12
2025-03-07,13.1
2025-03-06,12.85
2025-03-05,12.78
2025-02-28,12.22
2025-02-27,12.32
2025-02-26,11.7
2025-02-25,11.09
2025-02-24,11.03
2025-02-21,11.12
2025-02-20,11.04
2025-02-19,10.97
2025-02-18,11.09
2025-02-17,11.1
2025-02-14,11.13
2025-02-13,10.98
2025-02-12,10.92
2025-02-11,10.96
2025-02-10,10.97
2025-02-07,10.85
2025-02-06,10.86
2025-02-05,10.82
2025-02-04,10.9
2025-02-03,11.03
2025-01-31,11.1
2025-01-30,11.11
2025-01-29,10.97
2025-01-28,11.11
2025-01-27,11.12
2025-01-24,10.87
2025-01-23,11.05
2025-01-22,11.02
2025-01-21,11.25
2025-01-20,11.05
2025-01-17,11.09
2025-01-16,11.08
2025-01-15,11.39
2025-01-14,11.21
2025-01-13,11.24
