date,BBDC3
2025-10-03,14.71
2025-10-02,14.71
2025-10-01,14.93
2025-09-30,15.23
2025-09-29,15.28
2025-09-26,15.09
2025-09-25,15.01
2025-09-24,15.17
2025-09-23,15.3
2025-09-22,15.17
2025-09-19,15.13
2025-09-18,14.88
2025-09-17,15.04
2025-09-16,14.6
2025-09-15,14.6
2025-09-12,14.41
2025-09-11,14.57
2025-09-10,14.42
2025-09-09,14.54
2025-09-08,14.64
2025-09-05,14.71
2025-09-04,14.39
2025-09-03,14.09
2025-09-02,14.07
2025-09-01,14.34
2025-08-29,14.44
2025-08-28,14.38
2025-08-27,14.05
2025-08-26,14.03
2025-08-25,14.01
2025-08-22,13.96
2025-08-21,13.56
2025-08-20,13.6
2025-08-19,13.54
2025-08-18,14.0
2025-08-15,13.79
2025-08-14,13.8
2025-08-13,13.82
2025-08-12,13.97
2025-08-11,13.68
2025-08-08,13.71
2025-08-07,13.59
2025-08-06,13.52
2025-08-05,13.52
2025-08-04,13.49
2025-08-01,13.38
2025-07-31,13.4
2025-07-30,13.46
2025-07-29,13.27
2025-07-28,13.27
2025-07-25,13.38
2025-07-24,13.49
2025-07-23,13.63
2025-07-22,13.41
2025-07-21,13.48
2025-07-18,13.45
2025-07-17,13.77
2025-07-16,13.77
2025-07-15,13.83
2025-07-14,13.82
2025-07-11,13.83
2025-07-10,13.88
2025-07-09,14.06
2025-07-08,14.21
2025-07-07,14.24
2025-07-04,14.41
2025-07-03,14.42
2025-07-02,14.12
2025-07-01,14.35
2025-06-30,14.51
2025-06-27,14.28
2025-06-26,14.31
2025-06-25,14.19
2025-06-24,14.26
2025-06-23,14.19
2025-06-20,14.29
2025-06-18,14.45
2025-06-17,14.5
2025-06-16,14.37
2025-06-13,14.11
2025-06-12,14.28
2025-06-11,14.08
2025-06-10,13.71
2025-06-09,13.69
2025-06-06,13.78
2025-06-05,13.79
2025-06-04,14.18
2025-06-03,14.18
2025-06-02,14.02
2025-05-30,13.98
2025-05-29,13.9
2025-05-28,14.04
2025-05-27,13.8
2025-05-26,13.61
2025-05-23,13.53
2025-05-22,13.42
2025-05-21,13.4
2025-05-20,13.71
2025-05-19,13.48
2025-05-16,13.5
2025-05-15,13.4
2025-05-14,13.31
2025-05-13,13.39
2025-05-12,13.13
2025-05-09,13.26
2025-05-08,13.4
2025-05-07,11.75
2025-05-06,11.85
2025-05-05,11.96
2025-05-02,12.04
2025-04-30,12.23
2025-04-29,12.1
2025-04-28,11.94
2025-04-25,11.97
2025-04-24,11.91
2025-04-23,11.69
2025-04-22,11.36
2025-04-17,11.42
2025-04-16,11.41
2025-04-15,11.38
2025-04-14,11.36
2025-04-11,11.18
2025-04-10,11.09
2025-04-09,11.1
2025-04-08,10.75
2025-04-07,11.03
2025-04-04,11.17
2025-04-03,11.39
2025-04-02,11.18
2025-04-01,11.23
2025-03-31,11.35
2025-03-28,11.62
2025-03-27,11.69
2025-03-26,11.79
2025-03-25,11.59
2025-03-24,11.5
2025-03-21,11.36
2025-03-20,11.18
2025-03-19,11.35
2025-03-18,11.22
2025-03-17,11.28
2025-03-14,11.09
2025-03-13,10.68
2025-03-12,10.56
2025-03-11,10.51
2025-03-10,10.62
2025-03-07,10.74
2025-03-06,10.62
2025-03-05,10.55
2025-02-28,10.36
2025-02-27,10.58
2025-02-26,10.65
2025-02-25,10.78
2025-02-24,10.69
2025-02-21,10.88
2025-02-20,10.91
2025-02-19,10.9
2025-02-18,11.11
2025-02-17,11.14
2025-02-14,11.11
2025-02-13,10.83
2025-02-12,10.64
2025-02-11,11.05
2025-02-10,10.97
2025-02-07,10.88
2025-02-06,11.23
2025-02-05,11.11
2025-02-04,10.95
2025-02-03,11.01
2025-01-31,11.02
2025-01-30,11.05
2025-01-29,10.58
2025-01-28,10.64
2025-01-27,10.7
2025-01-24,10.42
2025-01-23,10.48
2025-01-22,10.63
2025-01-21,10.75
2025-01-20,10.73
2025-01-17,10.65
2025-01-16,10.79
2025-01-15,10.92
2025-01-14,10.55
2025-01-13,10.33
2025-01-10,10.31
2025-01-09,10.42
2025-01-08,10.4
2025-01-07,10.6
2025-01-06,10.48
2025-01-03,10.32
2025-01-02,10.48
2024-12-30,10.64
2024-12-27,10.65
2024-12-26,10.73
2024-12-23,10.61
2024-12-20,10.78
2024-12-19,10.54
2024-12-18,10.48
2024-12-17,10.93
2024-12-16,10.85
2024-12-13,11.06
2024-12-12,11.19
2024-12-11,11.55
2024-12-10,11.29
2024-12-09,11.11
2024-12-06,11.12
2024-12-05,11.29
2024-12-04,11.12
2024-12-03,10.98
2024-12-02,10.98
2024-11-29,11.13
2024-11-28,11.23
2024-11-27,11.66
2024-11-26,12.05
2024-11-25,11.96
2024-11-22,12.14
2024-11-21,12.08
2024-11-19,12.17
2024-11-18,12.13
2024-11-14,12.02
2024-11-13,11.96
2024-11-12,11.91
2024-11-11,11.99
2024-11-08,12.04
2024-11-07,12.17
2024-11-06,12.28
2024-11-05,12.45
2024-11-04,12.48
2024-11-01,12.52
2024-10-31,12.74
2024-10-30,13.19
2024-10-29,13.15
2024-10-28,13.33
2024-10-25,13.11
2024-10-24,13.26
2024-10-23,13.2
2024-10-22,13.24
2024-10-21,13.31
2024-10-18,13.34
2024-10-17,13.29
2024-10-16,13.23
2024-10-15,13.2
